start end threads q_block b_block dataset data_size query_size
1733308231.345356208 1733308419.796407779 256 1 1 gist 1000000 10000
1733308419.808663705 1733308513.154517544 256 1 5 gist 1000000 10000
1733308513.161963178 1733308591.236095412 256 1 10 gist 1000000 10000
1733308591.244258928 1733308644.022693256 256 1 50 gist 1000000 10000
1733308644.030143146 1733308697.758706481 256 1 100 gist 1000000 10000
1733308697.767344854 1733308743.669204682 256 1 500 gist 1000000 10000
1733308743.677268081 1733308846.788966848 256 1 1000 gist 1000000 10000
1733308846.796287111 1733309142.530926709 256 1 5000 gist 1000000 10000
1733309142.539847070 1733309450.581480409 256 1 10000 gist 1000000 10000
1733309450.588724552 1733309617.445258343 256 5 1 gist 1000000 10000
1733309617.453148199 1733309710.880156341 256 5 5 gist 1000000 10000
1733309710.887929838 1733309789.304201503 256 5 10 gist 1000000 10000
1733309789.313384452 1733309843.067070903 256 5 50 gist 1000000 10000
1733309843.078646135 1733309896.050811860 256 5 100 gist 1000000 10000
1733309896.058403396 1733309904.053129869 256 5 500 gist 1000000 10000
1733309904.061413456 1733309943.891060475 256 5 1000 gist 1000000 10000
1733309943.898968374 1733309947.955332531 256 5 5000 gist 1000000 10000
1733309947.963755779 1733310318.405032880 256 5 10000 gist 1000000 10000
1733310318.412803481 1733310485.862147963 256 10 1 gist 1000000 10000
1733310485.870217393 1733310578.809957951 256 10 5 gist 1000000 10000
1733310578.818658825 1733310657.346895277 256 10 10 gist 1000000 10000
1733310657.355465958 1733310710.015797042 256 10 50 gist 1000000 10000
1733310710.023737441 1733310762.977332548 256 10 100 gist 1000000 10000
1733310762.985745767 1733310771.694102855 256 10 500 gist 1000000 10000
1733310771.702378347 1733310774.831104158 256 10 1000 gist 1000000 10000
1733310774.838513973 1733310805.603877140 256 10 5000 gist 1000000 10000
1733310805.611368132 1733311058.689662140 256 10 10000 gist 1000000 10000
1733311058.698178518 1733311224.381125161 256 50 1 gist 1000000 10000
1733311224.389903456 1733311316.774377581 256 50 5 gist 1000000 10000
1733311316.781914862 1733311392.989111170 256 50 10 gist 1000000 10000
1733311392.997351632 1733311445.797620079 256 50 50 gist 1000000 10000
1733311445.805642810 1733311499.387921794 256 50 100 gist 1000000 10000
