start end threads q_block b_block dataset data_size query_size
1733373931.945698833 1733373975.711820564 256 10 500 gist 500000 10000
1733373975.724904331 1733374011.229717867 256 10 1000 gist 500000 10000
1733374011.236482576 1733374040.311861455 256 10 2500 gist 500000 10000
1733374040.318874078 1733374066.616614170 256 10 5000 gist 500000 10000
1733374066.623717588 1733374092.334279177 256 10 10000 gist 500000 10000
1733374092.341092890 1733374121.746210996 256 10 25000 gist 500000 10000
1733374121.754222181 1733374165.582716239 256 100 500 gist 500000 10000
1733374165.589807911 1733374201.261113540 256 100 1000 gist 500000 10000
1733374201.268568294 1733374230.551662140 256 100 2500 gist 500000 10000
1733374230.558819078 1733374257.139797391 256 100 5000 gist 500000 10000
1733374257.147136233 1733374283.005917916 256 100 10000 gist 500000 10000
1733374283.013188249 1733374313.607882921 256 100 25000 gist 500000 10000
1733374313.615266727 1733374357.126181300 256 250 500 gist 500000 10000
1733374357.133213224 1733374392.710993300 256 250 1000 gist 500000 10000
1733374392.718261999 1733374421.770951600 256 250 2500 gist 500000 10000
1733374421.778636699 1733374448.225851280 256 250 5000 gist 500000 10000
1733374448.232853992 1733374474.162760184 256 250 10000 gist 500000 10000
1733374474.169868811 1733374505.401345270 256 250 25000 gist 500000 10000
1733374505.408392818 1733374550.258316738 256 500 500 gist 500000 10000
1733374550.265275334 1733374586.386678965 256 500 1000 gist 500000 10000
1733374586.393814153 1733374615.916779298 256 500 2500 gist 500000 10000
1733374615.923861894 1733374642.403460654 256 500 5000 gist 500000 10000
1733374642.410704656 1733374668.242007320 256 500 10000 gist 500000 10000
1733374668.249656625 1733374703.518651013 256 500 25000 gist 500000 10000
