start end nproc q_block d_block dataset
1733174649.057980284 1733175459.961862018 1 100 100 deep
1733175016.653784608 1733175828.362097912 1 1 1 deep
1733175459.972624485 1733175883.710573346 2 100 100 deep
1733175883.719079902 1733176119.199660284 4 100 100 deep
1733176119.207427940 1733176243.854691925 8 100 100 deep
1733175828.371650894 1733176250.008433264 2 1 1 deep
1733176243.863357805 1733176312.271220343 16 100 100 deep
1733176312.279918004 1733176363.336188169 24 100 100 deep
1733176250.016566076 1733176486.440167951 4 1 1 deep
1733176486.447553855 1733176610.481611668 8 1 1 deep
1733176610.494950691 1733176678.431974493 16 1 1 deep
1733176678.440067828 1733176729.433685398 24 1 1 deep
1733176729.441822488 1733176770.041396869 32 1 1 deep
1733178892.137519333 1733178899.302604347 256 1 1 deep
1733178899.311746848 1733178905.698537113 248 1 1 deep
1733178905.707868680 1733178913.726167401 240 1 1 deep
1733178886.826955573 1733178925.751285964 256 100 100 deep
1733178913.738165331 1733178926.589962503 232 1 1 deep
1733178926.597040553 1733178935.884093564 224 1 1 deep
1733178935.891256049 1733178944.785810327 216 1 1 deep
1733178944.793023610 1733178955.291664892 208 1 1 deep
1733178925.759520071 1733178962.992663133 248 100 100 deep
1733178955.299008697 1733178964.676210519 200 1 1 deep
1733178964.683693052 1733178975.763439347 192 1 1 deep
1733178975.770800825 1733178985.671606246 184 1 1 deep
1733178985.678959929 1733178997.289318082 176 1 1 deep
1733178963.000549507 1733179000.995440795 240 100 100 deep
1733178997.298065081 1733179007.846867981 168 1 1 deep
1733179007.854599236 1733179021.133976573 160 1 1 deep
1733179021.141617614 1733179034.747399850 152 1 1 deep
1733179001.003671164 1733179039.086568345 232 100 100 deep
1733179034.757300979 1733179048.056846122 144 1 1 deep
1733179048.064013928 1733179058.968463102 136 1 1 deep
1733179058.979900342 1733179072.228468221 128 1 1 deep
1733179039.094293195 1733179077.098322701 224 100 100 deep
1733179072.235877004 1733179084.283449048 120 1 1 deep
1733179084.293024159 1733179097.469178283 112 1 1 deep
